Username,Rating,Date,Comment
Linwood Dawley,,"Reviewed in the United States on June 23, 2024","I recently upgraded my gaming setup with the Logitech G502 Lightspeed Wireless Gaming Mouse, and I must say, it's been a game-changer in every sense. As a passionate gamer, here's why I think this mouse is a top-notch choice:

**Wireless Freedom:** The transition to wireless with the G502 Lightspeed has been seamless. The wireless connection is reliable and lag-free, providing the freedom of movement I need during intense gaming sessions without any compromises on performance.

**Exceptional Sensor:** The Hero 25K sensor in this mouse is truly impressive. It delivers precise tracking and responsiveness, ensuring that every movement and flick of the mouse translates accurately in-game. Whether I'm sniping from a distance or engaging in fast-paced action, the sensor's performance is impeccable.

**Customizability:** One of the standout features of the G502 Lightspeed is its customizability. From programmable buttons to tunable weights, every aspect of the mouse can be adjusted to suit personal preferences and gaming styles. This level of customization has allowed me to optimize the mouse for different games and scenarios effortlessly.

**Comfort and Ergonomics:** Despite its feature-packed design, the G502 Lightspeed remains comfortable to use even during extended gaming sessions. The ergonomic shape fits snugly in my hand, providing excellent support and reducing fatigue. This makes it a pleasure to use for both gaming and everyday tasks.

**PowerPlay Compatibility:** I also appreciate the PowerPlay compatibility, which allows for wireless charging while gaming. This feature ensures that the mouse is always ready for action without the hassle of swapping batteries or dealing with charging cables.

**Lightsync RGB:** Lastly, the Lightsync RGB lighting adds a touch of style to my gaming setup. The customizable RGB lighting zones not only look great but also provide visual cues and alerts during gameplay, enhancing the immersive experience.

In conclusion, the Logitech G502 Lightspeed Wireless Gaming Mouse has exceeded my expectations on all fronts. Its combination of wireless freedom, precision, customizability, comfort, and aesthetic appeal makes it a standout choice for any gamer looking to elevate their gaming experience. I highly recommend it to anyone serious about gaming and looking for a reliable, high-performance gaming mouse.

**Rating: 5/5**"
Brady,,"Reviewed in the United States on March 19, 2024","I’ve tried and returned many mice over the course of the past 2 weeks. This one is my favorite. The wireless is nice and I still like the ability to plug directly into my pc if needed. I haven’t noticed any delay or anything. However If you like rgb this mouse is probably not for you, with the Logitech logo being the only thing lit up, and adding anything else will cut the battery life in half.

This mouse is comfortable to use, the buttons are easy to use, but you also won’t accidentally press one in, potentially messing you up in a game. The scroll wheel has a free scroll mode which has no resistance and will just keep rolling, and a resistance mode where it is clicky. I like the option for both depending on what I’m using it for. I also like the weights and the ability to make the mouse slightly heavier or lighter.

The software is eh but not terrible. Navigation is simple with three menus, one for dpi, the second for button assignments, and the third for lighting.

Overall I like it, it’s the best of the 8 I’ve tried including products from SteelSeries, Corsair, ASUS, Roccat, and Razer. Logitech won in my opinion."
Joy Rodriguez,,"Reviewed in the United States on December 17, 2023","I love this mouse. Nuff said!

Pros:
1. This thing is crazy responsive and I really enjoy using it for gaming.
2. Fits my hand and I don't feel I have to claw or strain to reach the buttons with my fingers, everything is just where I need it when I have to press the buttons.
3. Works great even with some distance from the usb receiver. I sit about 8ft-10ft away from my big screen TV and this product is able to keep up with no delay even at that distance.
4. Battery life is very good, I use this mouse everyday and it can go almost a full 8-9 days without need for a recharge on constant use. I can even use it wired while it's recharging A+.
5. The software is very easy to use and configure, I also have a Logitech Keyboard and Headset and I can control/customize all of them from one central GHub app. it's great.

Cons: It can be a bit pricy to replace, especially if it ever gets Phantom Click where either it registers a double click or no clicks. I had one before where this happened. While Logitech is great as a company, they will have you try everything under the sun to fix the issue before they will offer to replace it under warranty."
Timothy J Stegner,,"Reviewed in the United States on May 4, 2024","Great mouse for gaming, charge it every week or 2, battery life is great, speed and comfort is also great. My old mouse died after 10 years and they do not make em anymore so I decided to try this one and it was a great buy."
Kyle,,"Reviewed in the United States on May 20, 2024","I had the wired version of this mouse and the braided cord was starting to fray, so I decided to try the wireless version since I liked the one I had. I love it and it worked out great for me. That said it does seem like Logitech products have gone downhill over the past few years and I have gotten some bad products (headphones) from them recently."
Alex,,"Reviewed in the United States on June 11, 2024","Fits pretty well in my hands, smooth experience on the computer, experience no delay. Works great out of the box."
JordanisLaureano,,"Reviewed in the United States on May 18, 2024","I honestly gave the Master 3S a good try, stayed with it for over a few weeks but I just couldn't continue using it anymore I returned it because I was fed up, the main reason ironically is because of the scroll wheel!!? Does that make any sense? everyone on YouTube glorifies it, but guess what? I love the scroll wheel on the G502 series (if you know you know) The tactile feeling of the scroll (not infinite scroll) Is 100x better than what the Masters 3s have. The infinite scroll on the G502 (wired or wireless) is pretty much on part with the Masters 3s! (btw the side scrolling on the masters 3s is pretty gimmicky I mean it works but Its not infinite scroll smooth, its not tactile either just a regular a bit rough side scroller, I am tempted to make a YT video on this explaining in detail. But would have to buy the master 3s all over gain to compare them side by side.

Also, the G502 wired or wireless (which to my surprise feels the same on the hand regardless of the model) Is smaller than the Masters 3s easier to palm on your hand, more comforting. I also bought some grippy stickers for like 9$ bucks on amazon to supplement it. I love it, just wish the palm sticker was a bit bigger (awkward shape but its ok) Love the sticker itself and the grip it adds to the mount. Hope you found this review detailed for your liking :D"
Crazie Me,,"Reviewed in the United States on May 27, 2024","My portable mouse died for my laptop, and I had to replace it. I spent the extra money on this one because I love the one I have on my desktop. I like the feeling of the clicks of the buttons, and that I can make the wheel free spinning or turn with clicks. I appreciate that I can control the mouse speed with a button rather than having to go into my Windows settings. While I don't really care about the colors, that feature is neat if I want to be matchy-matchy with my keyboard -- on my desktop, it all matches. But my laptop's keyboard is only blue, so I leave the mouse at its default). I haven't had to charge it since getting it and I've probably used it 24 hours at this point. It's better than my phone, that's for sure! I will buy it again if I ever lose it, or one of my kids ""borrows"" it. (Don't tell them that!)"
Just Josh,,"Reviewed in the United States on July 18, 2020","I was looking for a high DPI mouse to use with my work laptop to crate a full ""wireless"" desktop at home.

I've been using gaming mice for work for years as I can't stand mice with ""average"" DPI tracking speeds. I like my mice to be super sensitive so that I barely have to move my hand to move the mouse pointer across the whole desktop and even across multiple monitors.

Since I am using this with my work computer that I am not allowed to install random software on it was important to me that the mouse allowed the DPI speed setting to be changed with physical buttons on the mouse. Many gaming mice only allow you to adjust the DPI settings via the companion software which wasn't an option for me on my work computer. This mouse has buttons right on the side that let you adjust the DPI speed between several presets right out of the box, no software needed. You can use the software to further refine exactly what DPI each setting will switch to, but I just set the mouse on the maximum setting using the buttons so I don't care about tweaking it further with the software.

I also had tried a Bluetooth gaming mouse from Razer previously, but I found that for whatever reason the Bluetooth connection to Windows was not very reliable and I would often lose connectivity to the mouse. Using the Logitech USB receiver has been flawless and the mouse is just as responsive as my previous wired mice were. The receiver is a standard USB plug, so I'll probably have to get a USB C converter at some point when I get a new computer, but that's not a big deal.

On the bottom of the mouse there are two removable panels. Then circular panel reveals a storage area for the tiny USB receiver, and also has spots for two weights on the cover itself. The larger panel has spots for additional weights. I am using all of the included weights as I actually weighed my previous Logitech wired mouse with the weights I was used to and found that adding all of the weights that are included with this mouse make it the exact same weight as my previous wired mouse. I like the mouse to have some heft to it and adding all the weights gets me that. If you like a lighter mouse you can just leave the weights out or adjust them however you like.

Another interesting default setting on the mouse is that there is a small button that your thumb can press which will reduce the mouse DPI to the lowest setting while you hold the button down. This is particularly nice if you are like me and use the mouse on the highest setting as you can always push down this button if you need to do any very precise movements such as hovering over a very thin edge of a window to resize it or make minute adjustments when doing image editing, etc.

There are a few quirks which are a little annoying, but nothing that would make me want to stop using this mouse.

First, the mouse has colored LEDs inside of it as per all the usual gaming devices of today. By default the colors constantly cycle. You can use the Logitech software to setup the light patterns and lights however you like, but if you aren't using the software you are stuck with the default constant cycling. I even installed the software on my personal computer in the hope that any settings I made would be retained when I switched over to my work computer, but sadly the settings reset to the default after a short time if the mouse isn't connected to a computer with the software installed. So I just have to live with the color changing mouse... which isn't a big deal but I was hoping I might be able to get a little better battery life out of it if I turned off the lights.

The other quirk is the battery life. I definitely cannot get a full week of work out of this mouse without recharging it. Using Bluetooth would give much longer battery life but it's worth the trade off to me to have the reliable and fast connection using the Logitech wireless adapter. The mouse will show its current battery level via the DPI indicator lights when you first wake it up, and will flash a red light when it is getting low. It uses a braided USB cable for charging and also for connecting it to your computer in wired mode if you like. I've actually just setup the cable to a regular USB charger so whenever the mouse gets low I simply plug in the cable and continue to use it in wireless mode while it charges just from the power source. I leave the cable wrapped around the bottom of my monitor so it's easy to access if I happen to run out of battery power at a bad time, and the cable is long enough to basically just feel like I've switched back to a wired mouse temporarily while it's charging.

Overall I think this is the best wireless high DPI mouse you can find, especially if you want one that has all the DPI adjustments right on the mouse itself and doesn't require software."
Jonathan,,"Reviewed in the United States on May 10, 2024","I used to use the Logitech G602, which was a beast. It lasted forever on a battery, was a great shape, and performed well in all my daily tasks and gaming. However, once it was discontinued, it became hard to find a replacement when mine broke in a backpack incident! I didn't want to spend the $150 or $200 you'd find it at online, so I searched for a decent replacement. After trying the Razer Basilisk and G305, I splurged on the G602, and it has been fantastic!

I was worried about having to charge it up with a usb cable, but that's something that seems to only need to be done once a month or so. It performs well, the battery life is great, and it seems to hold up well as a travel mouse as well. Honestly, no complaints at all. Maybe I should start stockpiling them just in case..."
Nate,,"Reviewed in the United States on May 28, 2024","Was in the market for a new mouse and stumbled upon this one. I was looking for something under $100 and this mouse fit everything I needed.
The battery life is long lasting and fast to charge.
The sleek black color and smoothness in your palm is out of this world. I use this for a multitude of different games from FPS to RPG and it’s been amazing so far and couldn’t ask for a better mouse. If this fits your budget I highly recommend getting this for Gaming."
